123,123
1234,1234
james,1234
foobar,123
bill,111
jureck,444
paul,pauly
zzz,zzz
jurek,z
jimmy,111
someone,password
elvis,uhhuh
cher,mole
luke,zzz
elton,john
yogi,bear
xxx,xxx
Kito,zzz
john,smith
"{:username=>""foo""}","{:password=>""bar""}"
"{:username=>""foo""}","{:password=>""bar""}"
"{:username=>""testuser""}","{:password=>""password""}"
"{:username=>""testuser""}","{:password=>""password""}"
"{:username=>""testuser""}","{:password=>""password""}"
"[{:username=>""username""}]","[{:password=>""password""}]"
username,password
